species,source,n,P99,P99.5,P99.9
Bacillus_Altitudinis,DRIAMS,1,100.0,100.0,100.0
Bacillus_Alveayuensis,RKI,12,100.0,100.0,100.0
Bacillus_Aminovorans,RKI,24,100.0,100.0,100.0
Bacillus_Badius,RKI,21,100.0,100.0,100.0
Bacillus_Cereus,DRIAMS,52,100.0,100.0,100.0
Bacillus_Cereus,MARISMA,3,100.0,100.0,100.0
Bacillus_Cereus,MS-UMG,45,97.8,97.8,82.2
Bacillus_Circulans,DRIAMS,2,100.0,100.0,100.0
Bacillus_Circulans,MS-UMG,6,83.3,83.3,83.3
Bacillus_Ectoiniformans,RKI,20,100.0,100.0,100.0
Bacillus_Endophyticus,DRIAMS,2,100.0,100.0,100.0
Bacillus_Firmus,DRIAMS,2,100.0,100.0,100.0
Bacillus_Flexus,MS-UMG,1,0.0,0.0,0.0
Bacillus_Gobiensis,RKI,12,100.0,100.0,100.0
Bacillus_Halosaccharovorans,MS-UMG,1,100.0,100.0,100.0
Bacillus_Infantis,MS-UMG,2,100.0,100.0,100.0
Bacillus_Infantis,RKI,12,100.0,100.0,100.0
Bacillus_Licheniformis,DRIAMS,1,100.0,100.0,100.0
Bacillus_Megaterium,MS-UMG,1,100.0,100.0,0.0
Bacillus_Mojavensis,DRIAMS,2,100.0,100.0,100.0
Bacillus_Mycoides,DRIAMS,9,100.0,100.0,100.0
Bacillus_Okuhidensis,MS-UMG,1,0.0,0.0,0.0
Bacillus_Pumilus,DRIAMS,17,100.0,100.0,100.0
Bacillus_Pumilus,MARISMA,1,100.0,100.0,100.0
Bacillus_Pumilus,MS-UMG,1,100.0,100.0,100.0
Bacillus_Simplex,MS-UMG,8,37.5,37.5,25.0
Bacillus_Species,MS-UMG,12,58.3,41.7,33.3
Bacillus_Spp,RKI,12,100.0,100.0,100.0
Bacillus_Subtilis,DRIAMS,3,100.0,100.0,100.0
Bacillus_Subtilis,MS-UMG,15,80.0,80.0,73.3
Bacillus_Taeanensis,RKI,12,100.0,100.0,100.0
Bacillus_Thuringiensis,DRIAMS,6,100.0,100.0,100.0
Bacillus_Vallismortis,DRIAMS,2,100.0,100.0,100.0
Bacillus_Weihenstephanensis,DRIAMS,2,100.0,100.0,100.0
Bacillus_Weihenstephanensis,MS-UMG,1,100.0,100.0,100.0
Bacillus_Zeae,RKI,12,100.0,100.0,100.0
Bacteroides_Caccae,DRIAMS,3,100.0,100.0,100.0
Bacteroides_Faecis,DRIAMS,10,100.0,100.0,100.0
Bacteroides_Fragilis,DRIAMS,72,100.0,97.2,97.2
