species,source,n,P99,P99.5,P99.9
Burkholderia_Vietnamiensis,DRIAMS,11,100.0,100.0,100.0
Burkholderia_Vietnamiensis,RKI,14,100.0,100.0,100.0
Burkholderia_Xenovorans,MS-UMG,1,100.0,100.0,100.0
Burkholderia_cepacia_group,DRIAMS,7,100.0,100.0,100.0
Buttiauxella_Gaviniae,MS-UMG,1,100.0,100.0,100.0
Butyricimonas_Virosa,DRIAMS,7,100.0,100.0,100.0
Caballeronia_Glathei,RKI,24,100.0,100.0,100.0
Campylobacter_Coli,DRIAMS,55,100.0,100.0,100.0
Campylobacter_Coli,MARISMA,20,100.0,100.0,100.0
Campylobacter_Concisus,DRIAMS,7,100.0,100.0,100.0
Campylobacter_Fetus,DRIAMS,9,100.0,100.0,100.0
Campylobacter_Fetus,MARISMA,2,100.0,100.0,100.0
Campylobacter_Fetus,MS-UMG,1,100.0,100.0,100.0
Campylobacter_Jejuni,DRIAMS,372,100.0,100.0,100.0
Campylobacter_Jejuni,MARISMA,95,100.0,100.0,100.0
Campylobacter_Jejuni,RKI,10,100.0,100.0,100.0
Campylobacter_Lari,DRIAMS,3,100.0,100.0,100.0
Campylobacter_Rectus,DRIAMS,2,100.0,100.0,100.0
Campylobacter_Upsaliensis,DRIAMS,3,100.0,100.0,100.0
Campylobacter_Ureolyticus,DRIAMS,3,100.0,100.0,100.0
Candida_Africana,MS-UMG,2,100.0,100.0,100.0
Candida_Albicans,MARISMA,17,100.0,100.0,100.0
Candida_Albicans,MS-UMG,1603,90.3,90.3,90.3
Candida_Catenulata,MS-UMG,1,100.0,100.0,100.0
Candida_Dubliniensis,MS-UMG,72,87.5,87.5,87.5
Candida_Glabrata,MARISMA,47,100.0,100.0,100.0
Candida_Glabrata,MS-UMG,619,73.8,73.8,73.8
Candida_Guilliermondii,MS-UMG,10,100.0,100.0,100.0
Candida_Kefyr,MS-UMG,52,90.4,90.4,90.4
Candida_Krusei,MS-UMG,112,82.1,82.1,82.1
Candida_Lusitaniae,MS-UMG,27,81.5,81.5,81.5
Candida_Metapsilosis,MARISMA,1,100.0,100.0,100.0
Candida_Norvegensis,MS-UMG,3,66.7,66.7,66.7
Candida_Parapsilosis,MARISMA,17,100.0,100.0,100.0
Candida_Parapsilosis,MS-UMG,138,82.6,82.6,82.6
Candida_Species,MS-UMG,4,50.0,50.0,50.0
Candida_Tropicalis,MARISMA,8,100.0,100.0,100.0
Candida_Tropicalis,MS-UMG,198,75.8,75.8,75.8
Candida_Utilis,MS-UMG,1,100.0,100.0,100.0
Capnocytophaga_Sp,DRIAMS,3,100.0,100.0,100.0
Capnocytophaga_Sputigena,DRIAMS,14,100.0,100.0,100.0
Cedecea_Davisae,MS-UMG,1,100.0,100.0,100.0
Cedecea_Neteri,MS-UMG,3,100.0,100.0,100.0
Chromobacterium_Species,MS-UMG,2,100.0,100.0,100.0
Chryseobacterium_Gleum,DRIAMS,6,100.0,100.0,100.0
Chryseobacterium_Gleum,MS-UMG,3,100.0,100.0,100.0
Chryseobacterium_Indologenes,DRIAMS,1,100.0,100.0,100.0
Chryseobacterium_Indologenes,MARISMA,2,100.0,100.0,100.0
Chryseobacterium_Indologenes,MS-UMG,17,94.1,94.1,94.1
Chryseobacterium_Joostei,DRIAMS,2,100.0,100.0,100.0
Chryseobacterium_Joostei,MS-UMG,1,100.0,100.0,100.0
Chryseobacterium_Oranimense,MS-UMG,3,100.0,100.0,100.0
Chryseobacterium_Sp,DRIAMS,4,100.0,100.0,100.0
Chryseobacterium_Species,MS-UMG,1,100.0,100.0,100.0
Citrobacter_Amalonaticus,DRIAMS,22,100.0,100.0,100.0
Citrobacter_Amalonaticus,MARISMA,5,100.0,100.0,100.0
Citrobacter_Amalonaticus,MS-UMG,26,100.0,100.0,100.0
Citrobacter_Amalonaticus,RKI,26,100.0,100.0,100.0
Citrobacter_Braakii,DRIAMS,65,100.0,100.0,100.0
Citrobacter_Farmeri,DRIAMS,6,100.0,100.0,100.0
Citrobacter_Farmeri,MARISMA,4,100.0,100.0,100.0
Citrobacter_Freundii,DRIAMS,678,100.0,100.0,100.0
Citrobacter_Freundii,MARISMA,166,100.0,100.0,100.0
Citrobacter_Freundii,MS-UMG,419,97.1,97.1,97.1
Citrobacter_Freundii,RKI,26,100.0,100.0,100.0
Citrobacter_Koseri,DRIAMS,977,100.0,100.0,100.0
Citrobacter_Koseri,MARISMA,223,100.0,100.0,100.0
Citrobacter_Koseri,MS-UMG,549,98.0,98.0,98.0
Citrobacter_Koseri,RKI,18,100.0,100.0,100.0
Citrobacter_Murliniae,DRIAMS,2,100.0,100.0,100.0
Citrobacter_Sedlakii,DRIAMS,2,100.0,100.0,100.0
Citrobacter_Sedlakii,MARISMA,1,100.0,100.0,100.0
Citrobacter_Youngae,DRIAMS,3,100.0,100.0,100.0
Clostridium_Baratii,DRIAMS,1,100.0,100.0,100.0
Clostridium_Cadaveris,DRIAMS,1,100.0,100.0,100.0
Clostridium_Clostridioforme,DRIAMS,1,100.0,100.0,100.0
Clostridium_Clostridioforme,MS-UMG,1,100.0,100.0,100.0
Clostridium_Difficile,DRIAMS,18,100.0,100.0,100.0
Clostridium_Glycolicum,DRIAMS,2,100.0,100.0,100.0
Clostridium_Innocuum,DRIAMS,4,100.0,100.0,100.0
Clostridium_Paraputrificum,DRIAMS,6,100.0,100.0,100.0
Clostridium_Perfringens,DRIAMS,16,100.0,100.0,100.0
Clostridium_Perfringens,MS-UMG,5,100.0,100.0,100.0
Clostridium_Ramosum,DRIAMS,9,100.0,100.0,100.0
Clostridium_Ramosum,MS-UMG,1,0.0,0.0,0.0
